id	cond	treatment	rep
GSM1088679	LUCZ	KO	1
GSM1088680	LUCZ	KO	2
GSM1088681	LUCZ	KO	3
GSM1088682	LUCZ	KO	4
GSM1088683	LUGCB	KO	1
GSM1088684	LUGCB	KO	2
GSM1088685	LUGCB	KO	3
GSM1088686	LUGCB	KO	4
GSM1088687	LUSA	KO	1
GSM1088688	LUSA	KO	2
GSM1088689	LUSA	KO	3
GSM1088690	LUSA	KO	4
GSM1088691	LUSA	WT	1
GSM1088692	LUSA	WT	2
GSM1088693	LUSA	WT	3
GSM1088694	LUSA	WT	4
GSM1088695	LVCZ	KO	1
GSM1088696	LVCZ	KO	2
GSM1088697	LVCZ	KO	3
GSM1088698	LVCZ	KO	4
GSM1088699	LVGCB	KO	1
GSM1088700	LVGCB	KO	2
GSM1088701	LVGCB	KO	3
GSM1088702	LVGCB	KO	4
GSM1088703	LVSA	KO	1
GSM1088704	LVSA	KO	2
GSM1088705	LVSA	KO	3
GSM1088706	LVSA	KO	4
GSM1088707	LVSA	WT	1
GSM1088708	LVSA	WT	2
GSM1088709	LVSA	WT	3
GSM1088710	LVSA	WT	4
GSM1088711	SPCZ	KO	1
GSM1088712	SPCZ	KO	2
GSM1088713	SPCZ	KO	3
GSM1088714	SPCZ	KO	4
GSM1088715	SPGCB	KO	1
GSM1088716	SPGCB	KO	2
GSM1088717	SPGCB	KO	3
GSM1088718	SPGCB	KO	4
GSM1088719	SPSA	KO	1
GSM1088720	SPSA	KO	2
GSM1088721	SPSA	KO	3
GSM1088722	SPSA	KO	4
GSM1088723	SPSA	KO	5
GSM1088724	SPSA	KO	6
GSM1088725	SPSA	KO	7
GSM1088726	SPSA	WT	7
GSM1088727	SPSA	WT	1
GSM1088728	SPSA	WT	2
GSM1088729	SPSA	WT	3
GSM1088730	SPSA	WT	4
GSM1088731	SPSA	WT	5
GSM1088732	SPSA	WT	6
GSM1088733	SPSA	WT	8
